export,stage,n_role_choices,deviate_rate,stat_rate,other_rate
04-23,1,49,0.22448979591836735,0.6326530612244898,0.14285714285714285
04-23,2,49,0.16326530612244897,0.6530612244897959,0.1836734693877551
04-23,3,49,0.2653061224489796,0.6530612244897959,0.08163265306122448
04-23,4,37,0.2972972972972973,0.5675675675675675,0.13513513513513514
04-23,5,24,0.2916666666666667,0.5,0.20833333333333334
04-27a,1,51,0.21568627450980393,0.6274509803921569,0.1568627450980392
04-27a,2,51,0.19607843137254902,0.6666666666666666,0.13725490196078433
04-27a,3,51,0.17647058823529413,0.5882352941176471,0.23529411764705882
04-27a,4,41,0.2682926829268293,0.5121951219512195,0.21951219512195122
04-27a,5,32,0.40625,0.375,0.21875
04-27b,1,47,0.1276595744680851,0.723404255319149,0.14893617021276595
04-27b,2,46,0.2608695652173913,0.6956521739130435,0.043478260869565216
04-27b,3,45,0.37777777777777777,0.5777777777777777,0.044444444444444446
04-27b,4,29,0.3448275862068966,0.5862068965517241,0.06896551724137931
04-27b,5,20,0.35,0.6,0.05
All,1,147,0.19047619047619047,0.6598639455782312,0.14965986394557823
All,2,146,0.2054794520547945,0.6712328767123288,0.1232876712328767
All,3,145,0.2689655172413793,0.6068965517241379,0.12413793103448276
All,4,107,0.29906542056074764,0.5514018691588785,0.14953271028037382
All,5,76,0.35526315789473684,0.47368421052631576,0.17105263157894737
