export,stage,n_inferences,accuracy
04-23,2,186,0.7849462365591398
04-23,3,168,0.6607142857142857
04-23,4,78,0.48717948717948717
04-27a,2,210,0.7095238095238096
04-27a,3,192,0.6041666666666666
04-27a,4,126,0.5873015873015873
04-27a,5,46,0.6739130434782609
04-27b,2,186,0.6182795698924731
04-27b,3,156,0.6346153846153846
04-27b,4,102,0.6078431372549019
04-27b,5,30,0.6333333333333333
05-11a,2,282,0.6453900709219859
05-11a,3,274,0.6167883211678832
05-11a,4,176,0.6363636363636364
05-11a,5,24,0.5833333333333334
05-11b,2,252,0.6468253968253969
05-11b,3,250,0.588
05-11b,4,124,0.5887096774193549
05-11b,5,42,0.5238095238095238
All,2,1116,0.6765232974910395
All,3,1040,0.6173076923076923
All,4,606,0.5924092409240924
All,5,142,0.6056338028169014
