id,autoSubmitted,autoSubmittedLastChangedAt,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,inferredRoles,inferredRolesLastChangedAt,playerID,playerIDLastChangedAt,roleSubmittedAt,roleSubmittedAtLastChangedAt,roundID,roundIDLastChangedAt,selectedRole,selectedRoleLastChangedAt,stageID,stageIDLastChangedAt,submit,submitLastChangedAt
01KK16CHXGRZVG2Z9PJT09EJ0C,,,01KK14SQV0P481Z3K7NG2WAD1J,2026-03-06T09:06:48.880345627Z,01KK14SQVR4MGX2VVSH2ZAT939,2026-03-06T09:06:48.880345627Z,"{""1"":0,""2"":1}",2026-03-06T09:07:01.652136515Z,01KK14YQA50QAFCAK6W01QR3B7,2026-03-06T09:06:48.880345627Z,1772788021084,2026-03-06T09:07:01.648275622Z,01KK16053FR0X122XFMFNA1F6V,2026-03-06T09:06:48.880345627Z,2,2026-03-06T09:07:01.649521843Z,01KK16CHW5DPZCZ9MQYWEPC8W0,2026-03-06T09:06:48.880345627Z,true,2026-03-06T09:07:01.654169895Z
01KK16T1JCQAVSWSRTSRF1X01C,,,01KK14SQV0P481Z3K7NG2WAD1J,2026-03-06T09:14:10.89234214Z,01KK14SQVR4MGX2VVSH2ZAT939,2026-03-06T09:14:10.89234214Z,,,01KK14YQA50QAFCAK6W01QR3B7,2026-03-06T09:14:10.89234214Z,,,01KK16R62P4R88EBKAHN7TDWM1,2026-03-06T09:14:10.89234214Z,,,01KK16T1GA7CJDBDM2RPDPMP6C,2026-03-06T09:14:10.89234214Z,true,2026-03-06T09:14:27.387191242Z
01KK16XXY8P3RYYEZEZMKX9A2N,,,01KK14SQV0P481Z3K7NG2WAD1J,2026-03-06T09:16:18.248989336Z,01KK14SQVR4MGX2VVSH2ZAT939,2026-03-06T09:16:18.248989336Z,{},2026-03-06T09:16:23.975286079Z,01KK14Z0RVMECWC1MW63EJGMSS,2026-03-06T09:16:18.248989336Z,1772788583898,2026-03-06T09:16:23.97072811Z,01KK16XXK4T3Z2ZJ0JBVS4Z11D,2026-03-06T09:16:18.248989336Z,1,2026-03-06T09:16:23.978684067Z,01KK16XXM7S8PDAC61N6ZYQ3FJ,2026-03-06T09:16:18.248989336Z,true,2026-03-06T09:16:23.980890211Z
01KK17K83SZNK6QTM6M27FC4ZR,,,01KK14SRVPK023675GC61HZ1SF,2026-03-06T09:27:56.793085454Z,01KK14SRWHSKEAMQEN2G8SHW8V,2026-03-06T09:27:56.793085454Z,"{""0"":0,""2"":0}",2026-03-06T09:28:19.227550137Z,01KK156FDQVJQ278PX88B67FJS,2026-03-06T09:27:56.793085454Z,1772789298206,2026-03-06T09:28:19.230772413Z,01KK17JWA29ENEP6QVB7NYGZT6,2026-03-06T09:27:56.793085454Z,2,2026-03-06T09:28:19.214564738Z,01KK17K81RKBY0W0W4MTKDD052,2026-03-06T09:27:56.793085454Z,true,2026-03-06T09:28:19.224003697Z
01KK17PGZH1G1K2RANF526PE3J,,,01KK14SRVPK023675GC61HZ1SF,2026-03-06T09:29:44.178039637Z,01KK14SRWHSKEAMQEN2G8SHW8V,2026-03-06T09:29:44.178039637Z,,,01KK156FDQVJQ278PX88B67FJS,2026-03-06T09:29:44.178039637Z,,,01KK17JWA29ENEP6QVB7NYGZT6,2026-03-06T09:29:44.178039637Z,,,01KK17PGXRFH2297969W7ZW92W,2026-03-06T09:29:44.178039637Z,,
01KK16KWH864C0SCZ9GVN1XSVS,,,01KK14SQV0P481Z3K7NG2WAD1J,2026-03-06T09:10:49.128581427Z,01KK14SQVR4MGX2VVSH2ZAT939,2026-03-06T09:10:49.128581427Z,"{""0"":0,""2"":0}",2026-03-06T09:11:10.720384713Z,01KK14Z0RVMECWC1MW63EJGMSS,2026-03-06T09:10:49.128581427Z,1772788270641,2026-03-06T09:11:10.715628683Z,01KK16KDXVD5EHP62DRTZ8HY4M,2026-03-06T09:10:49.128581427Z,2,2026-03-06T09:11:10.718196466Z,01KK16KWF6KNEXKXJKE3R9CK4A,2026-03-06T09:10:49.128581427Z,true,2026-03-06T09:11:10.716586275Z
01KK165YZGJF512Y28XD2ZNGQK,,,01KK14SP07FQHYH09Q2SY1KYNF,2026-03-06T09:03:12.881015596Z,01KK14SP2D05SY2J5VP6VS1BFA,2026-03-06T09:03:12.881015596Z,"{""0"":0,""1"":0}",2026-03-06T09:03:49.090892136Z,01KK152B7R4ZD53WXFFZ6BYJE1,2026-03-06T09:03:12.881015596Z,1772787828654,2026-03-06T09:03:49.086613244Z,01KK1640VW63B5R36VJSNE32VW,2026-03-06T09:03:12.881015596Z,2,2026-03-06T09:03:49.085231114Z,01KK165YY0X5A6F43QP28ZPCTA,2026-03-06T09:03:12.881015596Z,true,2026-03-06T09:03:49.090146486Z
01KK16HRC1S7EHAH1NBPMZSXHR,,,01KK14SP07FQHYH09Q2SY1KYNF,2026-03-06T09:09:39.329846674Z,01KK14SP2D05SY2J5VP6VS1BFA,2026-03-06T09:09:39.329846674Z,,,01KK152B7R4ZD53WXFFZ6BYJE1,2026-03-06T09:09:39.329846674Z,,,01KK16FJ2J2CMXZNNK2B4Z6QHC,2026-03-06T09:09:39.329846674Z,,,01KK16HRAHBB6CEXD80PMC18GN,2026-03-06T09:09:39.329846674Z,true,2026-03-06T09:09:43.471752888Z
01KK16VY07VQV57M8G3GN1BP88,,,01KK14SQV0P481Z3K7NG2WAD1J,2026-03-06T09:15:12.775728076Z,01KK14SQVR4MGX2VVSH2ZAT939,2026-03-06T09:15:12.775728076Z,"{""1"":0,""2"":0}",2026-03-06T09:15:31.169745062Z,01KK14YQA50QAFCAK6W01QR3B7,2026-03-06T09:15:12.775728076Z,1772788530592,2026-03-06T09:15:31.155943691Z,01KK16VJXQA01MCD21FT5WRE76,2026-03-06T09:15:12.775728076Z,2,2026-03-06T09:15:31.159168496Z,01KK16VXY2HK8PTKND3J0ZGB4P,2026-03-06T09:15:12.775728076Z,true,2026-03-06T09:15:31.17233373Z
01KK17BCD5ETJ58M7K9NC5SRTF,,,01KK14SRVPK023675GC61HZ1SF,2026-03-06T09:23:39.04505362Z,01KK14SRWHSKEAMQEN2G8SHW8V,2026-03-06T09:23:39.04505362Z,"{""0"":0,""1"":1}",2026-03-06T09:23:58.872622579Z,01KK15D81NJ35HBJ07N6ACFCPZ,2026-03-06T09:23:39.04505362Z,1772789037429,2026-03-06T09:23:58.842438308Z,01KK17B313DF06CWW2BWNN8JQH,2026-03-06T09:23:39.04505362Z,2,2026-03-06T09:23:58.837939302Z,01KK17BCBKWQ00JG3F5RYG09XV,2026-03-06T09:23:39.04505362Z,true,2026-03-06T09:23:58.869717988Z
